iter	RMSE
0	79041.84268
1	77105.50621
2	74952.60147
3	73070.35147
4	71085.60669
5	69445.89093
6	67706.96812
7	66155.77033
8	64638.24271
9	63200.28408
10	61737.71291
11	60365.1699
12	58951.06243
13	57607.01121
14	56431.05295
15	55195.27786
16	54123.91383
17	52948.70087
18	51936.29523
19	50996.819
20	50081.58466
21	49094.41596
22	48163.43676
23	47294.53132
24	46518.86481
25	45647.94213
26	44751.3168
27	44019.12236
28	43349.24804
29	42584.75476
30	41888.05838
31	41248.37209
32	40659.16484
33	40091.91142
34	39558.69444
35	38948.32526
36	38396.25113
37	37814.70622
38	37346.7626
39	36843.92551
40	36368.25988
41	35889.43224
42	35350.02198
43	34931.85319
44	34491.47753
45	34015.16828
46	33603.38186
47	33260.39853
48	32837.97584
49	32477.43643
50	32096.30777
51	31797.61559
52	31440.63879
53	31125.43297
54	30774.21428
55	30427.93016
56	30087.62826
57	29803.46157
58	29522.08631
59	29227.6192
60	28916.47338
61	28668.10064
62	28468.54778
63	28229.02866
64	28047.18561
65	27811.10218
66	27536.66659
67	27360.32626
68	27117.55984
69	26894.94158
70	26718.498
71	26526.02964
72	26319.6529
73	26119.32689
74	25934.5358
75	25750.24729
76	25573.1889
77	25396.00429
78	25247.93846
79	25096.92484
80	24933.38056
81	24768.82418
82	24642.74784
83	24559.20547
84	24415.84024
85	24232.94135
86	24125.40952
87	23992.71961
88	23881.10118
89	23740.37202
90	23625.35714
91	23505.3041
92	23397.02564
93	23288.29443
94	23157.03605
95	23062.87892
96	22947.74087
97	22802.99077
98	22715.36703
99	22620.70296
100	22508.62151
101	22439.71184
102	22317.02863
103	22230.79633
104	22158.78182
105	22084.48469
106	22023.2064
107	21945.41358
108	21853.42327
109	21754.29004
110	21646.77282
111	21553.35068
112	21457.31931
113	21407.96925
114	21318.81668
115	21234.1716
116	21152.60641
117	21068.09381
118	20988.4789
119	20904.44978
120	20828.15347
121	20743.31118
122	20673.57064
123	20616.54729
124	20536.60531
125	20451.20368
126	20388.75214
127	20321.88322
128	20250.29614
129	20170.98169
130	20094.92541
131	20035.58296
132	19955.90399
133	19897.86762
134	19835.17017
135	19781.42453
136	19709.60128
137	19675.49658
138	19622.80948
139	19575.30779
140	19530.79277
141	19478.34281
142	19465.10177
143	19407.91745
144	19345.79982
145	19300.62139
146	19225.21013
147	19153.00334
148	19099.47196
149	19037.87593
150	18972.16215
151	18916.33236
152	18861.79337
153	18813.86828
154	18779.87715
155	18713.73966
156	18629.61977
157	18554.5382
158	18499.42541
159	18459.38742
160	18393.11559
161	18345.44223
162	18301.08299
163	18253.63783
164	18195.67278
165	18157.30599
166	18118.01719
167	18054.55243
168	18008.34085
169	17963.46663
170	17913.11497
171	17875.7297
172	17849.5757
173	17806.16822
174	17767.89947
175	17752.78709
176	17708.95895
177	17650.85975
178	17611.71855
179	17565.30914
180	17510.46332
181	17468.03577
182	17436.91888
183	17403.72851
184	17369.62733
185	17331.10252
186	17291.55563
187	17256.1306
188	17208.85263
189	17174.5611
190	17163.10195
191	17138.47063
192	17095.07537
193	17056.17768
194	17022.5602
195	16982.67233
196	16942.76571
197	16892.46753
198	16856.0601
199	16834.82326
200	16794.85952
201	16743.60473
202	16709.67231
203	16685.86324
204	16674.27044
205	16643.54861
206	16626.70489
207	16582.65321
208	16548.71645
209	16521.66584
210	16478.70108
211	16435.92348
212	16397.93904
213	16363.96441
214	16340.65735
215	16317.9464
216	16277.45742
217	16216.18281
218	16173.59699
219	16146.23956
220	16109.3458
221	16078.62975
222	16029.63565
223	15987.15141
224	15948.1313
225	15905.53617
226	15864.89815
227	15847.71645
228	15838.34448
229	15820.9307
230	15806.28314
231	15785.29316
232	15757.91183
233	15713.03299
234	15658.74384
235	15628.50602
236	15593.47317
237	15547.29505
238	15533.43877
239	15502.70009
240	15482.4559
241	15450.62072
242	15415.72144
243	15396.79762
244	15366.37248
245	15339.63777
246	15294.17368
247	15280.72247
248	15265.90729
249	15233.71376
250	15189.733
251	15158.47054
252	15123.91344
253	15076.65309
254	15064.90199
255	15024.85532
256	14983.48066
257	14955.73149
258	14944.23205
259	14923.34375
260	14895.69433
261	14868.97002
262	14839.32908
263	14813.46991
264	14774.01025
