iter	Passed	Remaining
0	2	2766
1	5	2697
2	7	2594
3	9	2469
4	12	2432
5	14	2375
6	16	2312
7	18	2281
8	20	2272
9	22	2252
10	24	2240
11	34	2814
12	36	2767
13	38	2714
14	40	2684
15	43	2646
16	45	2617
17	47	2591
18	49	2558
19	51	2534
20	54	2517
21	56	2496
22	58	2493
23	61	2482
24	63	2465
25	65	2455
26	67	2449
27	70	2436
28	72	2431
29	74	2418
30	76	2402
31	79	2392
32	81	2384
33	83	2371
34	85	2365
35	87	2351
36	90	2342
37	92	2330
38	94	2321
39	96	2312
40	98	2303
41	100	2301
42	102	2291
43	104	2280
44	107	2277
45	109	2279
46	112	2273
47	114	2271
48	116	2263
49	118	2259
50	121	2252
51	123	2243
52	125	2239
53	127	2237
54	129	2231
55	131	2223
56	134	2222
57	136	2215
58	138	2209
59	140	2208
60	143	2204
61	145	2199
62	147	2200
63	149	2193
64	152	2186
65	154	2186
66	156	2184
67	159	2184
68	161	2179
69	163	2172
70	165	2168
71	168	2166
72	170	2166
73	173	2169
74	175	2168
75	177	2162
76	180	2161
77	182	2155
78	184	2149
79	186	2148
80	189	2147
81	191	2146
82	194	2150
83	196	2147
84	199	2144
85	201	2143
86	203	2140
87	206	2137
88	208	2132
89	210	2126
90	212	2120
91	214	2121
92	217	2117
93	219	2115
94	225	2146
95	229	2159
96	231	2155
97	242	2231
98	244	2227
99	246	2222
100	249	2221
101	251	2215
102	253	2211
103	256	2207
104	258	2202
105	261	2201
106	263	2196
107	265	2194
108	268	2190
109	270	2186
110	272	2181
111	274	2179
112	277	2174
113	279	2169
114	281	2166
115	283	2161
116	285	2155
117	287	2151
118	290	2147
119	292	2143
120	294	2140
121	296	2135
122	298	2130
123	301	2127
124	303	2124
125	305	2120
126	307	2116
127	310	2112
128	312	2109
129	314	2107
130	317	2103
131	319	2099
132	321	2095
133	323	2092
134	325	2088
135	328	2087
136	330	2083
137	332	2079
138	335	2076
139	337	2072
140	339	2067
141	341	2064
142	344	2066
143	346	2061
144	349	2060
145	351	2057
146	354	2054
147	356	2052
148	358	2048
149	360	2044
150	363	2042
151	365	2039
152	368	2039
153	370	2036
154	372	2032
155	375	2029
156	377	2025
157	379	2021
158	381	2018
159	383	2014
160	385	2010
161	388	2008
162	390	2006
